ID;SEC00_CHAIN;TRN00_PERIOD;VOL;VAL
5;NONWEB;201909;2,556,617,058;27,710,946.19
20;ET VE TAVUK SULARI;201909;32,635,565,640;11,481,238.96
112;SALCALAR;201909;14,257,954,342;160,438,124.51
75;DIS FIRCALARI;201909;3,647,452;16,718,818.21
86;TRAS LOSYONLARI;201909;15,001,072;7,038,778.03
115;ALKOLLU ICECEKLER;201909;449,351,300;70,818,090.43
116;ARAP SABUNLARI;201909;418,502,570;2,651,142.51
104;CIKOLATA KAPLAMALAR;201909;4,655,883,905.20;132,076,289.75
53;ALUMINYUM FOLYOLAR VE STREC FILMLER;201909;289,185,189.56;25,048,566.63
15;KAGIT URUNLERI;201909;1,592,945,568;272,092,215.67
110;DONDURULMUS GIDALAR;201909;5,094,335,425;60,268,003.97
47;Test Sector 1;201909;172,582,554,549.68;4,626,123,178.71
62;SULAR;201909;651,296,744,250;346,014,494.92
94;SIRKELER;201909;6,791,611,688;28,996,843.13
50;ET MAMULLERI;201909;17,883,156,744;798,931,505.13
29;MAKARNALAR;201909;29,016,812,362;121,337,099.15
71;SAKIZLAR;201909;134,668,033.04;19,162,970.33
45;AGIZ GARGARALARI;201909;100,167,223;3,540,839.32
113;DIS MACUNLARI;201909;587,379,406.75;63,143,007.37
11;PIRINC UNLARI;201909;207,944,140;4,242,809.26
4;GRANUL ICECEKLER;201909;67,572,402;2,000,871.23
26;KEDI-KOPEK MAMALARI;201909;269,355,125;5,785,348.82
2;DONDURMALAR;201909;11,450,522,204.75;223,219,548.99
38;SIVI YAGLAR;201909;57,418,064,302;467,965,088.60
32;UNLAR;201909;39,129,160,903.60;108,761,983.03
80;MEYVE SULARI;201909;22,973,610,730;91,076,837.36
81;SEKERLER;201909;1,986,855,075.20;46,274,077.98
64;CAYLAR;201909;11,523,071,054.60;357,037,008.56
9;KULAK TEMIZLEME CUBUGU;201909;206,249,480;3,165,295.28
93;BAHARATLAR;201909;3,765,139,964;122,035,268.65
89;ENERJI VE SPOR ICECEKLERI;201909;524,755,936;6,598,857.64
22;CILT BAKIM URUNLERI;201909;373,809,207;40,667,388.41
24;HARDALLAR;201909;17,928,240;539,874.14
85;SAC KREMLERI;201909;1,088,690,821;34,968,748.63
56;EV PARFUMLERI;201909;552,896;5,928,682.62
60;GUNES YAGLARI VE KREMLERI;201909;52,249,525;15,204,217.54
58;MALT ICECEKLER;201909;84,072,870;903,340.06
82;SALEPLER VE BOZALAR;201909;116,992,676;404,023.34
121;BRIYANTINLER;201909;3,639,525;142,151.60
61;TRAS ALETLERI;201909;35,064;774,366.57
66;BISKUVILER;201909;22,000,665,965.80;339,175,919.93
35;HAZIR KAHVELER VE KREMALAR;201909;825,853,709.30;76,415,114.01
16;BEYAZ ETLER;201909;35,315,396,679.65;461,361,425.22
95;COP TORBALARI;201909;77,128,065;15,394,054.22
98;DEODORANTLAR;201909;442,948,203;44,090,092.22
92;TOZ-KESME SEKERLER;201909;46,197,502,155.80;212,613,730.67
37;BEBEK ISLAK MENDILLERI;201909;1,383,202,997;85,016,738.88
41;KAKAOLU SUT TOZLARI;201909;366,925,132.80;13,250,456.87
44;KADIN PARFUMLERI;201909;21,797,904;11,282,364.90
57;SAGLIK BEZLERI;201909;1,727,876;2,949,384.38
70;PILLER;201909;4,772,748;6,036,848.10
46;HALI SAMPUANLARI;201909;100,518,500;1,382,139.89
103;GAZLI MESRUBATLAR;201909;102,633,784,570;257,841,380.34
1;MARGARINLER;201909;6,831,156,100;71,806,824.15
72;CAMASIR DETERJANLARI;201909;49,199,960,973;300,351,030.66
8;HEDIYELIK CIKOLATALAR;201909;682,545,185;26,030,099.73
106;RENKLI KOZMETIKLER;201909;2,828,413;41,696,932.20
84;CAMASIR YUMUSATICILARI;201909;19,914,260,472;105,474,339.71
74;TUY DOKUCU KREMLER;201909;122,021,404;8,712,301.06
39;COCUK BEZLERI;201909;280,237,324;214,420,638.88
51;PASTANE URUNLERI;201909;1,419,822,010;18,759,519.11
25;AILE PLANLAMASI;201909;894,624;1,012,037.41
42;KETCAPLAR;201909;3,056,184,748;24,488,087.74
43;SAC BOYALARI;201909;97,429,632;21,893,272.39
101;SAC SPREYLERI;201909;32,035,500;1,609,467.15
88;HAZIR PASTA UNLARI;201909;114,795,563;1,833,037.88
13;EV TEMIZLIGI MADDELERI;201909;37,188,263,168.70;201,631,328.50
3;BULASIK DETERJANLARI;201909;19,626,535,164.40;242,556,102.87
83;SABUNLAR VE DUS JELLERI;201909;12,462,664,962.60;105,867,000.42
6;MAYONEZLER;201909;1,533,643,538;19,051,604.32
40;BUZLU CAYLAR;201909;11,974,898,970;36,516,690.72
19;AYRAN VE KREMA;201909;7,959,226,735;35,728,324.54
14;TURK KAHVELERI;201909;1,974,086,233;90,117,304.18
108;BANDED PACK;201909;3,482,345,249.01;56,617,845.46
34;EV TEMIZLIGI ARACLARI;201909;21,136,722;23,589,709.48
114;BALIK KONSERVELERI;201909;443,191,430;20,500,087.76
59;BEBEK BANYO KOPUKLERI;201909;66,236,850;1,112,628.25
117;MOBILYA BAKIM URUNLERI;201909;181,257,800;1,478,723.59
52;HIJYENIK PEDLER;201910;180,299,891;81,127,943.99
79;CIKOLATALAR;201910;1,686,056,985.60;86,267,093.30
33;PUDINGLER;201910;3,035,106,073;50,986,273.92
31;KURUYEMISLER;201910;19,335,203,027.10;560,507,980.30
30;MADEN SULARI;201910;21,479,769,820;84,631,827.35
62;SULAR;201910;651,937,838,260;342,357,220.49
41;KAKAOLU SUT TOZLARI;201910;420,378,111.70;15,541,604.77
83;SABUNLAR VE DUS JELLERI;201910;12,161,192,607;106,910,731.37
19;AYRAN VE KREMA;201910;7,519,152,260;35,671,736.50
20;ET VE TAVUK SULARI;201910;35,009,345,820;12,489,228.63
54;SOSLAR;201910;645,487,606;14,121,898.12
22;CILT BAKIM URUNLERI;201910;499,752,343;48,837,512.05
4;GRANUL ICECEKLER;201910;63,526,285;1,705,496.65
111;TAHIN - PEKMEZ;201910;2,452,438,147;50,003,833.17
51;PASTANE URUNLERI;201910;1,544,303,850;20,792,278.68
89;ENERJI VE SPOR ICECEKLERI;201910;449,566,273;5,944,614.19
44;KADIN PARFUMLERI;201910;24,438,160;11,447,931.91
21;AMPULLER;201910;630,960;5,276,370.71
106;RENKLI KOZMETIKLER;201910;2,917,780;43,936,749.68
70;PILLER;201910;5,956,168;7,437,460.30
25;AILE PLANLAMASI;201910;802,514;1,194,888.92
57;SAGLIK BEZLERI;201910;1,265,238;2,740,228.23
105;SUTLER;201910;197,092,785,249;692,456,738.97
113;DIS MACUNLARI;201910;598,642,298.75;66,423,069.89
13;EV TEMIZLIGI MADDELERI;201910;37,286,822,694.55;205,683,424.35
17;CEREZLER;201910;3,108,319,456;103,941,672.16
53;ALUMINYUM FOLYOLAR VE STREC FILMLER;201910;276,130,374.52;25,134,931.60
71;SAKIZLAR;201910;136,338,135.86;19,850,349.11
3;BULASIK DETERJANLARI;201910;20,420,136,152.20;251,331,558.08
108;BANDED PACK;201910;3,623,098,470.16;54,445,878.71
45;AGIZ GARGARALARI;201910;86,629,660;3,172,879.70
107;HAZIR YEMEKLER;201910;2,953,896,895;32,194,177.54
9;KULAK TEMIZLEME CUBUGU;201910;218,502,340;3,334,649.12
110;DONDURULMUS GIDALAR;201910;5,284,993,256;61,051,908.32
90;TOZ SABUNLAR;201910;190,962,000;3,417,298.45
12;AGIZ SAGLIGI;201910;18,555;168,794.89
117;MOBILYA BAKIM URUNLERI;201910;208,866,300;1,566,371.28
118;KOLONYALAR;201910;378,724,075;8,340,262.21
61;TRAS ALETLERI;201910;11,276;252,630.95
38;SIVI YAGLAR;201910;60,386,032,026;500,028,384.20
85;SAC KREMLERI;201910;1,176,212,667;37,878,139.35
67;RECELLER;201910;4,329,956,636;107,978,177.12
77;ZEYTINLER;201910;15,746,823,005.40;266,028,113.01
93;BAHARATLAR;201910;3,945,918,737.60;118,651,599.19
95;COP TORBALARI;201910;71,473,532;15,142,153.88
68;KREM CIKOLATALAR;201910;7,291,759,967;151,074,993.79
37;BEBEK ISLAK MENDILLERI;201910;1,337,029,086;82,283,177.78
32;UNLAR;201910;38,018,402,916;107,948,952.07
1;MARGARINLER;201910;7,628,910,000;80,549,423.46
102;SAC JOLELERI;201910;55,098,815;1,130,708.74
39;COCUK BEZLERI;201910;280,367,507;215,763,701.43
119;SINEK-BOCEK ILACLARI;201910;577,759;6,689,789.50
43;SAC BOYALARI;201910;113,035,662;24,917,439.80
66;BISKUVILER;201910;25,381,575,493;397,279,814.99
15;KAGIT URUNLERI;201910;1,627,602,598;265,448,780.19
50;ET MAMULLERI;201910;19,106,462,221.40;855,835,244.39
35;HAZIR KAHVELER VE KREMALAR;201910;885,501,881.30;88,103,526.15
76;MISIR GEVREKLERI;201910;1,694,196,645;34,700,498.31
98;DEODORANTLAR;201910;462,660,761;48,991,348.15
75;DIS FIRCALARI;201910;3,695,038;17,595,782.87
34;EV TEMIZLIGI ARACLARI;201910;22,615,019;25,487,963.67
115;ALKOLLU ICECEKLER;201910;432,567,150;71,718,982.16
59;BEBEK BANYO KOPUKLERI;201910;70,912,000;1,182,811.35
60;GUNES YAGLARI VE KREMLERI;201910;7,356,595;2,035,688.51
99;BEBEK PUDRALARI;201910;7,601,430;686,738.12
86;TRAS LOSYONLARI;201910;13,539,819;4,773,700.73
69;YUMURTALAR;201910;826,562,549;389,758,581.61
58;MALT ICECEKLER;201910;57,573,220;615,014.92
6;MAYONEZLER;201910;1,647,822,425;19,563,007.46
8;HEDIYELIK CIKOLATALAR;201910;401,212,221;13,657,344.56
27;MAYALAR;201910;385,290,209;8,411,263.36
74;TUY DOKUCU KREMLER;201910;128,115,139;8,371,137.98
56;EV PARFUMLERI;201910;655,769;6,536,500.62
109;LIMON-SALGAM SULARI;201910;1,672,570,390;5,909,501.20
100;KUMAS KOKU GIDERICILER;201910;110,404,530;1,578,227.31
10;YARABANTLARI;201910;4,228,474;566,778.35
121;BRIYANTINLER;201910;8,036,770;339,787.75
114;BALIK KONSERVELERI;201910;502,284,465;22,970,122.43
84;CAMASIR YUMUSATICILARI;201910;20,634,024,864;108,588,846.94
96;SAMPUANLAR;201910;7,255,523,075;193,936,902.60
78;EKMEKLER;201910;5,331,959,158;45,536,891.42
47;Test Sector 1;201910;193,515,219,814.17;5,236,181,978.43
63;BAKLIYAT;201910;73,062,776,798.84;486,103,971.59
92;TOZ-KESME SEKERLER;201910;44,855,448,316.40;209,279,113.05
72;CAMASIR DETERJANLARI;201910;52,294,639,386.20;320,051,901.72
64;CAYLAR;201910;11,976,896,268.30;384,301,546.99
16;BEYAZ ETLER;201910;38,162,239,660.70;465,378,184.10
81;SEKERLER;201910;1,802,569,328.80;44,865,053.61
40;BUZLU CAYLAR;201910;8,975,581,750;27,684,166.45
55;TRAS BICAKLARI;201910;13,111,517;21,989,376.86
11;PIRINC UNLARI;201910;199,038,650;4,472,802.51
49;TUZ;201910;8,789,868,052;16,110,142.02
97;BIRALAR;201910;4,545,872,910;102,236,915.43
73;BEBEK MAMALARI;201910;965,884,785;74,086,696.67
87;TRAS KREM VE KOPUKLERI;201910;161,161,665;5,132,052.12
46;HALI SAMPUANLARI;201910;75,114,250;988,820.08
101;SAC SPREYLERI;201910;51,175,970;2,158,920.07
80;MEYVE SULARI;201910;21,642,378,440;85,829,694.21
103;GAZLI MESRUBATLAR;201910;88,094,224,690;223,392,100.67
18;YOGURTLAR;201910;76,346,982,694;365,971,097.71
94;SIRKELER;201910;7,377,347,460;31,297,071.12
2;DONDURMALAR;201910;3,631,507,899.75;72,734,103.11
14;TURK KAHVELERI;201910;1,974,473,028.50;89,906,281.26
26;KEDI-KOPEK MAMALARI;201910;423,142,018;9,183,761.15
120;KOPUK JOLELER;201910;10,623,500;1,441,139.35
65;PEYNIRLER;201910;43,200,779,229.80;1,063,017,572.77
104;CIKOLATA KAPLAMALAR;201910;5,886,505,249.70;166,635,057.65
29;MAKARNALAR;201910;30,310,234,404;127,455,639.12
23;TEREYAGLAR;201910;7,307,412,016;305,192,058.66
88;HAZIR PASTA UNLARI;201910;107,599,550;1,889,997.06
112;SALCALAR;201910;14,080,117,457;163,222,343.26
7;HELVALAR;201910;1,771,177,909;34,107,947.03
28;HAZIR CORBALAR;201910;5,560,328,150;12,825,810.46
42;KETCAPLAR;201910;3,304,203,938;25,838,885.23
36;TURSULAR;201910;2,746,205,851;21,708,027.56
116;ARAP SABUNLARI;201910;396,354,050;2,635,651.60
48;EV YAPIMI URUNLER;201910;133,353,726,669;-170,098
82;SALEPLER VE BOZALAR;201910;437,612,705;2,170,793.06
5;NONWEB;201910;2,715,072,899.51;29,706,257.30
24;HARDALLAR;201910;28,189,645;835,261.66
91;DIGER ACIK GIDA URUNLERI;201910;15,336,886;934,755.70
47;Test Sector 1;201911;164,766,528,644.08;4,224,970,708.49
63;BAKLIYAT;201911;64,912,331,265.60;435,888,405.82
3;BULASIK DETERJANLARI;201911;20,850,152,113.60;256,221,270.05
80;MEYVE SULARI;201911;19,479,642,720;76,576,689.87
28;HAZIR CORBALAR;201911;5,626,632,340;13,216,949.36
69;YUMURTALAR;201911;796,677,436.93;380,009,261.44
82;SALEPLER VE BOZALAR;201911;1,053,796,530;5,515,426.85
68;KREM CIKOLATALAR;201911;7,189,507,397;151,230,261.75
19;AYRAN VE KREMA;201911;7,307,345,993;38,912,639.19
37;BEBEK ISLAK MENDILLERI;201911;1,291,358,694;79,611,205.69
70;PILLER;201911;5,433,338;7,049,798.82
26;KEDI-KOPEK MAMALARI;201911;331,292,845;6,633,313.98
115;ALKOLLU ICECEKLER;201911;415,215,300;65,749,485.42
116;ARAP SABUNLARI;201911;364,549,050;2,407,160.76
85;SAC KREMLERI;201911;1,066,682,253;33,852,528.51
100;KUMAS KOKU GIDERICILER;201911;115,088,760;1,923,616.76
101;SAC SPREYLERI;201911;39,538,510;2,274,078.17
60;GUNES YAGLARI VE KREMLERI;201911;5,850,150;1,221,055.77
2;DONDURMALAR;201911;1,821,560,048;34,780,313.30
18;YOGURTLAR;201911;71,131,391,276.80;352,708,988.40
96;SAMPUANLAR;201911;6,717,566,030;174,745,593.88
35;HAZIR KAHVELER VE KREMALAR;201911;817,056,075.60;101,134,548.50
16;BEYAZ ETLER;201911;37,791,609,937.73;458,776,502.17
103;GAZLI MESRUBATLAR;201911;85,631,459,550;218,127,086.68
71;SAKIZLAR;201911;150,261,655.41;22,257,527.78
114;BALIK KONSERVELERI;201911;452,609,630;21,203,572.60
36;TURSULAR;201911;2,427,859,947;18,792,126.36
33;PUDINGLER;201911;3,239,090,153;54,464,206.62
56;EV PARFUMLERI;201911;561,385;5,873,849.97
73;BEBEK MAMALARI;201911;920,633,755;70,370,164.46
88;HAZIR PASTA UNLARI;201911;88,321,848;1,552,365.58
46;HALI SAMPUANLARI;201911;54,249,850;854,821.53
120;KOPUK JOLELER;201911;11,688,025;1,147,771.54
121;BRIYANTINLER;201911;3,531,794;169,089.14
104;CIKOLATA KAPLAMALAR;201911;6,431,654,993.40;184,515,990.37
32;UNLAR;201911;36,287,532,023;105,296,359.13
105;SUTLER;201911;184,937,830,766;665,144,009.28
30;MADEN SULARI;201911;20,073,601,670;79,095,579.58
34;EV TEMIZLIGI ARACLARI;201911;21,941,854;24,292,813.41
75;DIS FIRCALARI;201911;3,227,425;15,246,533.19
107;HAZIR YEMEKLER;201911;3,073,803,218;33,959,501.65
106;RENKLI KOZMETIKLER;201911;2,887,044;41,665,153.45
90;TOZ SABUNLAR;201911;208,849,800;3,733,056.03
4;GRANUL ICECEKLER;201911;58,194,459;1,294,154.27
45;AGIZ GARGARALARI;201911;110,942,390;3,973,834.03
25;AILE PLANLAMASI;201911;931,805;1,346,241.25
59;BEBEK BANYO KOPUKLERI;201911;60,027,600;1,067,370.40
12;AGIZ SAGLIGI;201911;11,440;82,576.32
17;CEREZLER;201911;3,258,733,803.60;108,089,316.63
79;CIKOLATALAR;201911;1,827,774,064.85;92,092,825.93
112;SALCALAR;201911;12,301,098,060;142,120,269.14
50;ET MAMULLERI;201911;21,686,515,502.72;981,210,219.15
94;SIRKELER;201911;5,707,171,134;25,965,473.62
78;EKMEKLER;201911;4,790,865,061;41,820,200.71
72;CAMASIR DETERJANLARI;201911;51,515,091,517.50;312,830,289.46
110;DONDURULMUS GIDALAR;201911;5,385,657,233;64,210,101.35
83;SABUNLAR VE DUS JELLERI;201911;12,360,625,032;103,138,068.60
41;KAKAOLU SUT TOZLARI;201911;427,866,750.30;16,070,359.01
95;COP TORBALARI;201911;70,609,346;14,428,935.56
49;TUZ;201911;8,489,716,509;16,461,935.96
108;BANDED PACK;201911;3,738,916,564.50;55,399,365.43
67;RECELLER;201911;4,151,858,560;105,103,643.11
9;KULAK TEMIZLEME CUBUGU;201911;219,972,772;3,359,919.54
6;MAYONEZLER;201911;1,728,993,158;20,381,701.23
87;TRAS KREM VE KOPUKLERI;201911;136,675,030;4,416,427.53
42;KETCAPLAR;201911;3,250,726,838;25,531,960.01
11;PIRINC UNLARI;201911;206,239,725;4,574,208.96
10;YARABANTLARI;201911;2,964,372;386,896.13
24;HARDALLAR;201911;29,594,910;835,563.39
117;MOBILYA BAKIM URUNLERI;201911;192,158,600;1,854,578.55
65;PEYNIRLER;201911;42,288,706,047.66;1,053,234,982.49
92;TOZ-KESME SEKERLER;201911;42,783,203,296.40;198,875,746.91
7;HELVALAR;201911;1,979,847,695.40;37,712,586.42
113;DIS MACUNLARI;201911;579,069,069.50;64,218,284.23
13;EV TEMIZLIGI MADDELERI;201911;36,257,385,041.85;202,163,455.53
53;ALUMINYUM FOLYOLAR VE STREC FILMLER;201911;245,576,336.56;24,677,962.62
84;CAMASIR YUMUSATICILARI;201911;19,593,365,378;107,324,153.37
102;SAC JOLELERI;201911;52,509,125;1,091,487.22
99;BEBEK PUDRALARI;201911;5,737,925;573,622.65
14;TURK KAHVELERI;201911;1,986,890,286;90,272,064.43
31;KURUYEMISLER;201911;18,645,144,813.70;546,556,766.46
54;SOSLAR;201911;679,856,539;14,660,841.27
48;EV YAPIMI URUNLER;201911;112,105,215,250;0
62;SULAR;201911;618,597,953,490;327,173,377.36
64;CAYLAR;201911;12,844,032,341.70;419,624,584.64
76;MISIR GEVREKLERI;201911;1,655,705,285;34,081,097.57
97;BIRALAR;201911;3,841,945,946;86,784,522.70
8;HEDIYELIK CIKOLATALAR;201911;395,756,475;14,500,178.45
15;KAGIT URUNLERI;201911;1,583,095,102;271,215,679.32
22;CILT BAKIM URUNLERI;201911;476,576,863;45,349,025.57
109;LIMON-SALGAM SULARI;201911;1,725,028,610;6,389,328.20
44;KADIN PARFUMLERI;201911;23,778,208;13,849,735.50
43;SAC BOYALARI;201911;106,986,840;23,983,035.16
5;NONWEB;201911;2,399,975,527.50;23,775,095.05
29;MAKARNALAR;201911;28,681,596,011;125,612,359.26
52;HIJYENIK PEDLER;201911;171,098,932;75,879,255.08
39;COCUK BEZLERI;201911;258,687,249;194,881,750.31
98;DEODORANTLAR;201911;362,151,935;35,862,798.27
20;ET VE TAVUK SULARI;201911;35,089,231,680;12,298,969.88
38;SIVI YAGLAR;201911;63,280,305,003;530,593,365.67
21;AMPULLER;201911;670,923;5,576,354.81
74;TUY DOKUCU KREMLER;201911;104,021,690;7,567,244.78
86;TRAS LOSYONLARI;201911;14,062,795;6,462,997.96
58;MALT ICECEKLER;201911;47,301,360;553,006.16
93;BAHARATLAR;201911;4,188,463,538;126,991,738.11
66;BISKUVILER;201911;24,644,105,880.30;391,224,245.09
81;SEKERLER;201911;1,920,995,181.70;50,018,031.11
77;ZEYTINLER;201911;16,968,229,235.30;287,159,767.31
23;TEREYAGLAR;201911;6,790,797,467.20;287,203,857.82
1;MARGARINLER;201911;7,844,593,400;81,862,481.74
89;ENERJI VE SPOR ICECEKLERI;201911;415,868,763;5,248,831.07
55;TRAS BICAKLARI;201911;11,860,910;20,003,690.99
51;PASTANE URUNLERI;201911;1,478,410,350;19,938,994.48
40;BUZLU CAYLAR;201911;7,691,712,300;24,386,909.24
27;MAYALAR;201911;399,369,848.50;8,611,873.84
111;TAHIN - PEKMEZ;201911;2,878,465,892.90;62,353,237.34
57;SAGLIK BEZLERI;201911;1,829,700;3,198,532.70
118;KOLONYALAR;201911;311,454,100;7,165,271.45
119;SINEK-BOCEK ILACLARI;201911;357,858;4,038,915.74
91;DIGER ACIK GIDA URUNLERI;201911;22,090,099;1,642,534.14
61;TRAS ALETLERI;201911;37,363;640,818.40
41;KAKAOLU SUT TOZLARI;201912;479,386,530.80;18,196,020.04
113;DIS MACUNLARI;201912;677,464,364;77,109,026.42
72;CAMASIR DETERJANLARI;201912;51,319,234,449.50;308,905,743.42
18;YOGURTLAR;201912;69,626,018,724;358,328,663.00
108;BANDED PACK;201912;3,493,811,031.37;54,105,537.77
17;CEREZLER;201912;3,429,571,104;112,884,430.18
109;LIMON-SALGAM SULARI;201912;1,784,059,350;6,744,042.30
78;EKMEKLER;201912;5,096,088,792;45,865,273.12
82;SALEPLER VE BOZALAR;201912;1,821,499,105;9,636,227.82
115;ALKOLLU ICECEKLER;201912;463,225,300;74,085,706.28
34;EV TEMIZLIGI ARACLARI;201912;21,382,559;25,327,630.57
43;SAC BOYALARI;201912;94,898,157;21,867,752.98
20;ET VE TAVUK SULARI;201912;35,511,114,180;12,648,071.37
21;AMPULLER;201912;813,898;7,053,302.74
118;KOLONYALAR;201912;319,380,040;7,792,349.48
45;AGIZ GARGARALARI;201912;164,113,520;5,633,169.01
11;PIRINC UNLARI;201912;229,250,420;4,840,757.23
120;KOPUK JOLELER;201912;12,545,175;1,458,709.53
88;HAZIR PASTA UNLARI;201912;135,108,667;2,343,156.20
24;HARDALLAR;201912;22,749,995;714,403.58
117;MOBILYA BAKIM URUNLERI;201912;193,988,100;1,703,252.10
99;BEBEK PUDRALARI;201912;10,442,170;1,033,805.11
12;AGIZ SAGLIGI;201912;19,708;193,741.55
121;BRIYANTINLER;201912;3,158,400;190,605.33
79;CIKOLATALAR;201912;2,009,728,961.20;101,179,630.89
38;SIVI YAGLAR;201912;62,378,706,541;524,713,835.68
62;SULAR;201912;625,987,137,660;330,482,787.62
112;SALCALAR;201912;11,177,593,134;123,565,921.44
64;CAYLAR;201912;13,042,312,659.70;430,843,988.75
23;TEREYAGLAR;201912;6,969,765,270.80;302,400,063.92
89;ENERJI VE SPOR ICECEKLERI;201912;407,014,666;5,328,142.15
70;PILLER;201912;5,264,509;6,743,592.32
95;COP TORBALARI;201912;73,327,610;15,300,678.01
86;TRAS LOSYONLARI;201912;16,718,990;6,899,615.34
44;KADIN PARFUMLERI;201912;22,752,086;15,399,148.41
103;GAZLI MESRUBATLAR;201912;80,449,955,100;205,166,339.28
66;BISKUVILER;201912;25,085,007,034.50;397,102,155.30
105;SUTLER;201912;190,910,113,381;711,275,224.91
76;MISIR GEVREKLERI;201912;1,622,350,290;33,672,725.99
47;Test Sector 1;201912;191,274,315,236.13;4,536,660,960.85
53;ALUMINYUM FOLYOLAR VE STREC FILMLER;201912;246,866,122.80;26,802,054.87
5;NONWEB;201912;1,993,359,164.72;26,700,476.22
96;SAMPUANLAR;201912;6,672,485,180;174,469,925.79
14;TURK KAHVELERI;201912;2,032,410,364;92,267,720.35
2;DONDURMALAR;201912;873,084,514;18,381,754.71
54;SOSLAR;201912;727,001,016;16,383,001.25
8;HEDIYELIK CIKOLATALAR;201912;403,048,565.50;14,664,110.19
85;SAC KREMLERI;201912;1,011,027,919;33,564,967.33
114;BALIK KONSERVELERI;201912;507,709,915;22,804,678.40
26;KEDI-KOPEK MAMALARI;201912;403,001,172;6,956,966.95
58;MALT ICECEKLER;201912;41,974,470;471,085.68
59;BEBEK BANYO KOPUKLERI;201912;57,089,700;1,005,036.26
46;HALI SAMPUANLARI;201912;37,510,700;634,055.67
61;TRAS ALETLERI;201912;34,460;727,829.74
81;SEKERLER;201912;1,829,335,808.50;48,013,685.74
110;DONDURULMUS GIDALAR;201912;5,929,194,438;71,216,207.37
1;MARGARINLER;201912;8,063,488,600;83,085,838.04
94;SIRKELER;201912;4,532,043,520;22,045,106.05
39;COCUK BEZLERI;201912;261,997,910;197,366,167.11
51;PASTANE URUNLERI;201912;1,445,431,720;19,044,894.31
90;TOZ SABUNLAR;201912;244,868,100;4,144,141.19
60;GUNES YAGLARI VE KREMLERI;201912;3,830,000;1,404,871.05
49;TUZ;201912;8,004,268,302;15,593,821.76
16;BEYAZ ETLER;201912;37,867,712,192.30;466,288,388.54
63;BAKLIYAT;201912;66,913,810,541.80;446,333,096.67
30;MADEN SULARI;201912;17,923,528,400;70,579,178.55
68;KREM CIKOLATALAR;201912;7,129,584,663;153,972,054.44
37;BEBEK ISLAK MENDILLERI;201912;1,411,907,365;97,651,603.17
69;YUMURTALAR;201912;832,492,965.50;414,147,270.15
80;MEYVE SULARI;201912;19,448,775,970;77,566,128.15
67;RECELLER;201912;3,960,598,239;96,882,084.65
13;EV TEMIZLIGI MADDELERI;201912;34,325,951,942.95;196,114,283.97
40;BUZLU CAYLAR;201912;7,544,297,370;22,800,276.03
74;TUY DOKUCU KREMLER;201912;128,072,665;8,923,775.92
36;TURSULAR;201912;2,109,722,369;17,040,889.31
106;RENKLI KOZMETIKLER;201912;2,911,909;42,682,231.30
57;SAGLIK BEZLERI;201912;1,855,696;3,377,449.41
6;MAYONEZLER;201912;1,711,789,865;21,055,176.35
119;SINEK-BOCEK ILACLARI;201912;158,927;2,202,693.72
107;HAZIR YEMEKLER;201912;3,426,586,470;37,158,572.33
93;BAHARATLAR;201912;4,207,093,904.70;130,656,051.05
104;CIKOLATA KAPLAMALAR;201912;6,690,962,193.50;195,583,189.61
92;TOZ-KESME SEKERLER;201912;44,772,307,917;207,688,351.89
19;AYRAN VE KREMA;201912;6,981,653,204;40,703,617.59
35;HAZIR KAHVELER VE KREMALAR;201912;815,685,954.10;105,034,134.26
7;HELVALAR;201912;2,109,551,119.20;39,405,061.49
98;DEODORANTLAR;201912;328,800,677;34,118,932.68
97;BIRALAR;201912;3,628,364,736;82,764,106.26
42;KETCAPLAR;201912;3,326,674,088;26,389,628.07
9;KULAK TEMIZLEME CUBUGU;201912;225,425,696;3,337,356.99
22;CILT BAKIM URUNLERI;201912;559,387,148;60,675,437.96
75;DIS FIRCALARI;201912;4,115,538;23,583,117.55
73;BEBEK MAMALARI;201912;923,950,845;75,494,877.41
87;TRAS KREM VE KOPUKLERI;201912;127,240,855;4,171,882.03
101;SAC SPREYLERI;201912;41,203,110;2,522,294.59
29;MAKARNALAR;201912;30,235,075,360;134,285,470.55
27;MAYALAR;201912;407,147,844;9,087,819.73
50;ET MAMULLERI;201912;24,300,139,173.40;1,099,876,198.65
83;SABUNLAR VE DUS JELLERI;201912;12,352,558,613;105,291,891.39
77;ZEYTINLER;201912;13,977,021,821.80;248,400,165.96
15;KAGIT URUNLERI;201912;1,627,726,721;283,779,587.09
116;ARAP SABUNLARI;201912;352,043,010;2,352,679.65
28;HAZIR CORBALAR;201912;5,476,955,390;13,107,082.46
25;AILE PLANLAMASI;201912;1,478,753;1,572,214.05
56;EV PARFUMLERI;201912;560,185;5,600,430.24
4;GRANUL ICECEKLER;201912;82,809,215;1,495,538.56
91;DIGER ACIK GIDA URUNLERI;201912;20,594,439;1,579,629.49
65;PEYNIRLER;201912;41,327,112,172.62;1,095,236,840.50
31;KURUYEMISLER;201912;18,802,436,898.79;566,765,674.24
84;CAMASIR YUMUSATICILARI;201912;19,300,559,190;105,701,074.43
48;EV YAPIMI URUNLER;201912;111,926,129,736;0
32;UNLAR;201912;37,165,993,195;111,389,874.80
3;BULASIK DETERJANLARI;201912;20,654,025,593.20;259,225,059.26
